,Name,Review,Rating,#ThumbsUp,Date&Time,App;;
0,linah sibanda,On this app i cant find a partner,5,0,18-02-2022 01:19,Tinder;;
1,Norman Johnson,Tinder would be so much better if we could specify the race that we are looking for instead of swiping unnecessarily though EVERYONE,3,0,18-02-2022 01:16,Tinder;;
2,David Hume,Still doesn't correctly notify matches or messages. It's a monopoly so expect zero improvement in functionality. Overpriced. The recently added features like date night ask infantile and western culture based questions. Western dating culture is pure evil. The marketing tactics are designed to manipulate and extract money from men and while hiding how the app works. An evil company enabled by unregulated capitalism/psychopathy.,1,0,18-02-2022 01:11,Tinder;;
"3,Last 1 Standing,""Got banned because I updated my bio to say """"I feel like most girls on here are looking for plugs or sugar daddies and I'm not for that"""" tinder team doesn't give the options to appel bans which is stupid."",2,0,18-02-2022 01:11,Tinder";;
4,Arthur Magamedov,Love it!,5,0,18-02-2022 01:06,Tinder;;
5,Lukas Rukštelis,Good app.,5,0,18-02-2022 00:57,Tinder;;
6,kadija shaikh,Its great app but i just find it too expensive,5,0,18-02-2022 00:52,Tinder;;
7,Joe burns,Just tested after originally noticing a flux ; 14/20 were just escorts using the app to funnel customers to their snap chat,1,0,18-02-2022 00:37,Tinder;
8,Cameo Marion,My experiences on tinder have been very good. Have to watchout for the fake profiles.,5,0,18-02-2022 00:28,Tinder;;
9,Asjed Shaikh,Ony know,3,0,18-02-2022 00:23,Tinder;;
"10,Olu Ike,""I don't know why I was banned again, what happened? I don't really understand"",2,0,18-02-2022 00:23,Tinder";;
11,Sabhakant Pandey,Sabhakantpanday,5,0,18-02-2022 00:17,Tinder;;
12,Shikha Pandey,They banned my account without me doing anything,1,0,18-02-2022 00:16,Tinder;;
13,ayush singh,😜😛,1,0,18-02-2022 00:00,Tinder;;
"14,Hafiz Furqonul Aziz,""Ingat ada free version, rupanya mcm semua kena bayar."",1,0,17-02-2022 23:57,Tinder";;
15,park krishteen,Good,5,0,17-02-2022 23:54,Tinder;;
"16,Kurt Kimbrell,""Is this tinder or an advertisement to get on Snapchat? Seems like a Snapchat advertisement to get simps to boost a thot's following and cash flow. If you plan to be tinder then please be tinder and ban the Snapchat thots. It's too much and a waste of time. If tinder is teaching me anything is that I need to go outside, delete this app and meet real women."",1,0,17-02-2022 23:35,Tinder";;
17,Eric Omugabi Muganyizi,Very nice indeed,5,0,17-02-2022 23:19,Tinder;;
18,Gaming Center,Not find any couple,1,0,17-02-2022 23:16,Tinder;;
19,Dr.chandan Deo,Best,5,0,17-02-2022 23:09,Tinder;;
"20,Manjeet Singh,""Bad experience , money sucker"",1,0,17-02-2022 22:53,Tinder";;
21,Ayush Verma,App se accha college admission le k Gf pata lo,1,0,17-02-2022 22:53,Tinder;;
22,joshua griffiths,So expensive for tinder gold and that,3,0,17-02-2022 22:50,Tinder;;
"23,Abhishek Tewari Civil,""At first it shows u got a new match in notification window and after opening it, it gets disappeared"",1,0,17-02-2022 22:47,Tinder";;
"24,Celeste Hernandez,""I just turned 18 and made an account and I'm banned when I have nothing going against the terms of agreement, and no explanation ✌️😚 this app sucks"",1,0,17-02-2022 22:23,Tinder";;
25,Lovy Garg,Lawde lag gaye,1,0,17-02-2022 22:21,Tinder;;
26,Mrs umoh Jimmy,Good,5,0,17-02-2022 22:09,Tinder;;
27,daniel smith,Complete rip off. The amout of money it cost for 5 messages a week is absolutely garbage. You people at tinder should be ashamed of yourself. DO NOT PAY FOR THIS APP.,1,0,17-02-2022 22:03,Tinder;;
28,Blessing Chineacherem,I really love this app,1,0,17-02-2022 21:58,Tinder;;
29,Rajesh Khemnani,Incredible app with phenomenal people here,5,0,17-02-2022 21:58,Tinder;;
30,Kung Fu Panda,The app is completely terrible. It only bump up the profile for paid user.,1,0,17-02-2022 21:55,Tinder;;
"31,Pawan,""All dating apps are waste of time and money, most of profiles are fake to lure people and blackmail them for money"",1,0,17-02-2022 21:53,Tinder";;
32,Teiwo,Whoever made this app does not like non-binary people.,1,0,17-02-2022 21:44,Tinder;;
33,Bernadette Miles,I like TINDER bc it allows you to meet people to get some type of friendship going so I'm giving it a 5 star*****,5,0,17-02-2022 21:30,Tinder;;
34,Corry gibbens,NOT👏ALLOWING👏NAME👏CHANGES👏IS👏TRANSPHOBIC👏,1,0,17-02-2022 21:22,Tinder;;
"35,Kazanari Izume,""looking for a sugar daddy,🛳️✈️"",5,0,17-02-2022 21:21,Tinder";;
36,tushar gaur,Won't match if you don't pay,1,0,17-02-2022 21:21,Tinder;;
37,Steph H,Bu selecting women as the sex of choice. I do not want to see gay men or transsexuals in my search results. Please consider having a trans option.,2,0,17-02-2022 21:21,Tinder;;
38,mohsin golandaj,All fake id no matches at all waste of time.,1,0,17-02-2022 21:13,Tinder;;
"39,John Enesan,""Permanent ban, thanks"",1,0,17-02-2022 21:08,Tinder";;
40,Rahul Unnikrishnan,Unable to upload photos,1,0,17-02-2022 21:05,Tinder;;
41,maria chawala,Nice app,5,0,17-02-2022 20:50,Tinder;;
"42,dam damn,""I feel like I'm shadow banned, i literally get no matches"",1,0,17-02-2022 20:39,Tinder";;
"43,Craig Macleod,""Absoloutley shocking experience. Was getting loads of likes from the premimum section until i paid for it then it stopped, then i havnt matched with anyone. Complete scam avoid at all costs."",1,0,17-02-2022 20:32,Tinder";;
44,Rohan Biswas,Poor experience,1,0,17-02-2022 20:29,Tinder;;
"45,Oais,""App is broken and filled with lots of fake profiles with similar bios and people advertising only fans or snapchat. Premium features are a joke, tinder is clearly scamming its users now. Are there any real profiles left? Already cancelled platinum, don't think I'll be resubscribing until something changes"",1,0,17-02-2022 20:24,Tinder";;
46,lamina akins,Interesting,5,0,17-02-2022 20:21,Tinder;;
47,Gagik Galstyan,Jag glum,1,0,17-02-2022 20:21,Tinder;;
48,Rizky Slebor,lot of bugs,4,0,17-02-2022 20:06,Tinder;;
"49,Anurag Bala,""It was good till yesterday, but today I'm facing some serious problem."",3,0,17-02-2022 20:04,Tinder";;
50,Thomas Lowe,Banned my profile for no reason. No refund. Bunch of crooks.,1,0,17-02-2022 19:59,Tinder;;
51,Vansh Shira,Best,5,0,17-02-2022 19:55,Tinder;;
52,Anthony Martin,Dont like dont have unlimited likes charging money just to like someone is stealing,1,0,17-02-2022 19:54,Tinder;;
53,Rinne TienSie,This is actually a Scamming Apps!,1,0,17-02-2022 19:12,Tinder;;
54,Raimundo Gross Marchant,No me deja elegir los artistas de spotify,3,0,17-02-2022 19:11,Tinder;;
55,Justin Case,Still waiting to get verified after hours and hours of waiting.... It is not taking minutes as they state.,1,0,17-02-2022 19:02,Tinder;;
56,Joyz Rivera,Otp not recd in logging in,1,0,17-02-2022 18:56,Tinder;;
57,Sarah Crielesi,Stop being so slow and glitchy because I don't want to give you my email... Stop kicking me off to try and get me to give me my email...,1,0,17-02-2022 18:48,Tinder;;
58,Dave Baughman,Just bad,1,0,17-02-2022 18:42,Tinder;;
59,Robin Kahlon 21,Never got any iceal match but still good app,4,0,17-02-2022 18:37,Tinder;;
60,Robert Malone,I can't even download the app,1,0,17-02-2022 18:29,Tinder;;
61,Mahesh Hemachandra,Good app. But slow to load,5,0,17-02-2022 18:21,Tinder;;
62,Hardev Parmar,Trash trash trash,1,1,17-02-2022 18:08,Tinder;;
63,Chenise Licorish,Some people are just weired,3,0,17-02-2022 18:03,Tinder;;
64,Tom,Bought Tinder Platinum and it seemed to work for like maybe 2 days and now nothing. I looked it up and a bunch of people have similar stories. Doesn't really shock me since they have gotten more greedy. You have to now wait a week for super likes that were given back in 24 hours. The only thing that helps you out are spot lights. They do it on purpose. The people behind it don't care. So just a heads up before you use the app and know what you're getting into.,1,0,17-02-2022 17:43,Tinder;;
65,Lazer Jaguars,Profiles you already swiped on show up again repeatedly so this app is literally broken now,1,0,17-02-2022 17:43,Tinder;;
"66,Mohit Thakur,""App sucks, it crashes too much,login failed and photos Uploading glitch and much more"",1,0,17-02-2022 17:39,Tinder";;
67,emeka anene,I dont seem to have matches again for more than a month now. What could be the problem woth this app.,4,1,17-02-2022 17:38,Tinder;;
